"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Anxiety","2012","All","All","All","3.03","N/A","3.05","3.02","165520"
"Anxiety","2013","All","All","All","2.95","N/A","2.97","2.93","165250"
"Anxiety","2014","All","All","All","2.89","N/A","2.9","2.87","164830"
"Anxiety","2015","All","All","All","2.84","N/A","2.87","2.84","160420"
"Anxiety","2016","All","All","All","2.89","N/A","2.91","2.87","149800"
"Anxiety","2017","All","All","All","2.91","N/A","2.93","2.89","150740"
"Anxiety","2018","All","All","All","2.85","N/A","2.87","2.83","146790"
"Anxiety","2012","Arab","All","All","3.26","N/A","3.63","2.89","340"
"Anxiety","2013","Arab","All","All","3.57","N/A","3.97","3.17","340"
"Anxiety","2014","Arab","All","All","3.24","N/A","3.59","2.9","370"
"Anxiety","2015","Arab","All","All","3.55","N/A","3.96","3.14","370"
"Anxiety","2016","Arab","All","All","3.46","N/A","3.89","3.04","350"
"Anxiety","2017","Arab","All","All","3.38","N/A","3.78","2.97","340"
"Anxiety","2018","Arab","All","All","3.46","N/A","3.96","2.97","370"
"Anxiety","2012","Bangladeshi","All","All","3.22","N/A","3.52","2.93","580"
"Anxiety","2013","Bangladeshi","All","All","2.92","N/A","3.21","2.64","550"
"Anxiety","2014","Bangladeshi","All","All","2.73","N/A","3.04","2.43","560"
"Anxiety","2015","Bangladeshi","All","All","3.04","N/A","3.36","2.71","550"
"Anxiety","2016","Bangladeshi","All","All","2.98","N/A","3.29","2.66","560"
"Anxiety","2017","Bangladeshi","All","All","3.02","N/A","3.34","2.7","580"
"Anxiety","2018","Bangladeshi","All","All","2.62","N/A","2.9","2.34","550"
"Anxiety","2012","Black","All","All","3.18","N/A","3.31","3.06","3110"
"Anxiety","2013","Black","All","All","3.14","N/A","3.27","3.02","3080"
"Anxiety","2014","Black","All","All","2.94","N/A","3.06","2.82","3140"
"Anxiety","2015","Black","All","All","2.78","N/A","2.89","2.66","3210"
"Anxiety","2016","Black","All","All","2.88","N/A","3","2.75","3000"
"Anxiety","2017","Black","All","All","3.07","N/A","3.19","2.94","2920"
"Anxiety","2018","Black","All","All","2.75","N/A","2.89","2.6","2950"
"Anxiety","2012","Chinese","All","All","3.04","N/A","3.34","2.74","600"
"Anxiety","2013","Chinese","All","All","2.87","N/A","3.13","2.61","590"
"Anxiety","2014","Chinese","All","All","2.99","N/A","3.29","2.7","580"
"Anxiety","2015","Chinese","All","All","2.73","N/A","3.01","2.45","580"
"Anxiety","2016","Chinese","All","All","2.72","N/A","2.97","2.48","580"
"Anxiety","2017","Chinese","All","All","3.09","N/A","3.4","2.78","600"
"Anxiety","2018","Chinese","All","All","3","N/A","3.3","2.7","560"
"Anxiety","2012","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2013","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2014","White Gypsy / Traveller ","All","All","?","N/A","?","?","30"
"Anxiety","2015","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2016","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2017","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2018","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Anxiety","2012","Indian","All","All","3.21","N/A","3.35","3.07","2740"
"Anxiety","2013","Indian","All","All","3.07","N/A","3.2","2.95","2720"
"Anxiety","2014","Indian","All","All","2.93","N/A","3.06","2.8","2870"
"Anxiety","2015","Indian","All","All","2.97","N/A","3.11","2.83","2720"
"Anxiety","2016","Indian","All","All","2.91","N/A","3.04","2.78","2710"
"Anxiety","2017","Indian","All","All","3.02","N/A","3.15","2.88","2520"
"Anxiety","2018","Indian","All","All","2.84","N/A","2.98","2.69","2450"
"Anxiety","2012","Mixed","All","All","3.48","N/A","3.71","3.25","970"
"Anxiety","2013","Mixed","All","All","2.85","N/A","3.08","2.63","950"
"Anxiety","2014","Mixed","All","All","3.22","N/A","3.43","3.02","1050"
"Anxiety","2015","Mixed","All","All","3.29","N/A","3.51","3.07","1020"
"Anxiety","2016","Mixed","All","All","3.14","N/A","3.35","2.92","1000"
"Anxiety","2017","Mixed","All","All","3.17","N/A","3.4","2.94","1040"
"Anxiety","2018","Mixed","All","All","3.07","N/A","3.3","2.84","1010"
"Anxiety","2012","Asian other","All","All","3.19","N/A","3.4","2.98","1070"
"Anxiety","2013","Asian other","All","All","3.28","N/A","3.52","3.05","1060"
"Anxiety","2014","Asian other","All","All","2.92","N/A","3.13","2.7","1050"
"Anxiety","2015","Asian other","All","All","2.98","N/A","3.2","2.75","1080"
"Anxiety","2016","Asian other","All","All","2.91","N/A","3.12","2.71","1060"
"Anxiety","2017","Asian other","All","All","2.78","N/A","2.99","2.57","1030"
"Anxiety","2018","Asian other","All","All","2.68","N/A","2.92","2.44","1010"
"Anxiety","2012","Other ","All","All","3.45","N/A","3.65","3.24","1260"
"Anxiety","2013","Other ","All","All","3.28","N/A","3.48","3.07","1340"
"Anxiety","2014","Other ","All","All","3","N/A","3.2","2.8","1350"
"Anxiety","2015","Other ","All","All","2.86","N/A","3.04","2.68","1300"
"Anxiety","2016","Other ","All","All","2.93","N/A","3.12","2.74","1220"
"Anxiety","2017","Other ","All","All","3.06","N/A","3.27","2.86","1260"
"Anxiety","2018","Other ","All","All","3.02","N/A","3.23","2.82","1130"
"Anxiety","2012","Pakistani","All","All","3.27","N/A","3.48","3.07","1550"
"Anxiety","2013","Pakistani","All","All","3.14","N/A","3.34","2.94","1530"
"Anxiety","2014","Pakistani","All","All","3.07","N/A","3.27","2.88","1650"
"Anxiety","2015","Pakistani","All","All","2.81","N/A","3","2.62","1530"
"Anxiety","2016","Pakistani","All","All","2.99","N/A","3.17","2.82","1550"
"Anxiety","2017","Pakistani","All","All","2.91","N/A","3.11","2.72","1610"
"Anxiety","2018","Pakistani","All","All","2.83","N/A","3.01","2.64","1600"
"Anxiety","2012","White","All","All","3.01","N/A","3.03","2.99","153160"
"Anxiety","2013","White","All","All","2.93","N/A","2.95","2.91","152970"
"Anxiety","2014","White","All","All","2.87","N/A","2.89","2.86","152050"
"Anxiety","2015","White","All","All","2.84","N/A","2.86","2.83","147930"
"Anxiety","2016","White","All","All","2.88","N/A","2.9","2.86","137650"
"Anxiety","2017","White","All","All","2.89","N/A","2.91","2.87","138710"
"Anxiety","2018","White","All","All","2.85","N/A","2.87","2.83","135030"
"Anxiety","2012","White","All","High","N/A","20.73","21","20.45","-"
"Anxiety","2012","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2012","Mixed","All","High","N/A","25.85","29.45","22.26","-"
"Anxiety","2012","Indian","All","High","N/A","21.44","23.39","19.49","-"
"Anxiety","2012","Pakistani","All","High","N/A","22.71","25.43","19.99","-"
"Anxiety","2012","Bangladeshi","All","High","N/A","21.17","25.09","17.25","-"
"Anxiety","2012","Chinese","All","High","N/A","19.19","23.65","14.73","-"
"Anxiety","2012","Asian other","All","High","N/A","21.27","24.2","18.33","-"
"Anxiety","2012","Black","All","High","N/A","22.14","23.88","20.4","-"
"Anxiety","2012","Arab","All","High","N/A","21.3","26.5","16.09","-"
"Anxiety","2012","Other ","All","High","N/A","24.69","27.88","21.5","-"
"Anxiety","2012","White","All","Medium","N/A","17.45","17.7","17.19","-"
"Anxiety","2012","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2012","Mixed","All","Medium","N/A","19.01","22.32","15.7","-"
"Anxiety","2012","Indian","All","Medium","N/A","20.47","22.53","18.4","-"
"Anxiety","2012","Pakistani","All","Medium","N/A","20.03","22.47","17.58","-"
"Anxiety","2012","Bangladeshi","All","Medium","N/A","21.56","26.3","16.82","-"
"Anxiety","2012","Chinese","All","Medium","N/A","18.3","21.93","14.66","-"
"Anxiety","2012","Asian other","All","Medium","N/A","20.53","23.65","17.41","-"
"Anxiety","2012","Black","All","Medium","N/A","18.42","20.1","16.74","-"
"Anxiety","2012","Arab","All","Medium","N/A","22.53","28.03","17.03","-"
"Anxiety","2012","Other ","All","Medium","N/A","19.55","22.2","16.9","-"
"Anxiety","2012","White","All","Low","N/A","23.35","23.63","23.06","-"
"Anxiety","2012","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2012","Mixed","All","Low","N/A","22.98","26.47","19.48","-"
"Anxiety","2012","Indian","All","Low","N/A","23.76","25.83","21.7","-"
"Anxiety","2012","Pakistani","All","Low","N/A","21.2","23.82","18.59","-"
"Anxiety","2012","Bangladeshi","All","Low","N/A","22.1","26.4","17.8","-"
"Anxiety","2012","Chinese","All","Low","N/A","29.58","34.88","24.27","-"
"Anxiety","2012","Asian other","All","Low","N/A","23.31","26.43","20.2","-"
"Anxiety","2012","Black","All","Low","N/A","24.02","25.87","22.18","-"
"Anxiety","2012","Arab","All","Low","N/A","21.46","26.97","15.95","-"
"Anxiety","2012","Other ","All","Low","N/A","25.58","28.61","22.55","-"
"Anxiety","2012","White","All","Very_Low","N/A","38.48","38.81","38.15","-"
"Anxiety","2012","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2012","Mixed","All","Very_Low","N/A","32.16","35.95","28.37","-"
"Anxiety","2012","Indian","All","Very_Low","N/A","34.33","36.69","31.97","-"
"Anxiety","2012","Pakistani","All","Very_Low","N/A","36.06","39.13","33","-"
"Anxiety","2012","Bangladeshi","All","Very_Low","N/A","35.16","40.11","30.22","-"
"Anxiety","2012","Chinese","All","Very_Low","N/A","32.94","37.91","27.96","-"
"Anxiety","2012","Asian other","All","Very_Low","N/A","34.89","38.49","31.3","-"
"Anxiety","2012","Black","All","Very_Low","N/A","35.42","37.49","33.34","-"
"Anxiety","2012","Arab","All","Very_Low","N/A","34.72","42.36","27.07","-"
"Anxiety","2012","Other ","All","Very_Low","N/A","30.18","33.38","26.98","-"
"Anxiety","2013","White","All","High","N/A","19.93","20.2","19.67",""
"Anxiety","2013","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2013","Mixed","All","High","N/A","19.51","22.72","16.3",""
"Anxiety","2013","Indian","All","High","N/A","20.2","22.04","18.37",""
"Anxiety","2013","Pakistani","All","High","N/A","22.38","25.08","19.68",""
"Anxiety","2013","Bangladeshi","All","High","N/A","19.97","23.77","16.17",""
"Anxiety","2013","Chinese","All","High","N/A","14.58","18.41","10.75",""
"Anxiety","2013","Asian other","All","High","N/A","23.87","27.13","20.62",""
"Anxiety","2013","Black","All","High","N/A","21.74","23.45","20.02",""
"Anxiety","2013","Arab","All","High","N/A","24.41","30","18.83",""
"Anxiety","2013","Other ","All","High","N/A","23.59","26.62","20.56",""
"Anxiety","2013","White","All","Medium","N/A","16.78","17.03","16.53",""
"Anxiety","2013","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2013","Mixed","All","Medium","N/A","15.63","18.63","12.63",""
"Anxiety","2013","Indian","All","Medium","N/A","18.67","20.47","16.87",""
"Anxiety","2013","Pakistani","All","Medium","N/A","18.66","21.06","16.26",""
"Anxiety","2013","Bangladeshi","All","Medium","N/A","18.81","22.54","15.09",""
"Anxiety","2013","Chinese","All","Medium","N/A","19.73","24.13","15.34",""
"Anxiety","2013","Asian other","All","Medium","N/A","18.78","22.24","15.33",""
"Anxiety","2013","Black","All","Medium","N/A","18.92","20.78","17.07",""
"Anxiety","2013","Arab","All","Medium","N/A","21.34","26.74","15.94",""
"Anxiety","2013","Other ","All","Medium","N/A","17.65","20.13","15.18",""
"Anxiety","2013","White","All","Low","N/A","23.78","24.08","23.49",""
"Anxiety","2013","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2013","Mixed","All","Low","N/A","22.78","26.6","18.96",""
"Anxiety","2013","Indian","All","Low","N/A","26.32","28.49","24.16",""
"Anxiety","2013","Pakistani","All","Low","N/A","20.34","22.88","17.8",""
"Anxiety","2013","Bangladeshi","All","Low","N/A","20.99","25.23","16.76",""
"Anxiety","2013","Chinese","All","Low","N/A","33.01","39.2","26.82",""
"Anxiety","2013","Asian other","All","Low","N/A","22.03","25.28","18.77",""
"Anxiety","2013","Black","All","Low","N/A","21.28","23.03","19.53",""
"Anxiety","2013","Arab","All","Low","N/A","25.73","31.8","19.66",""
"Anxiety","2013","Other ","All","Low","N/A","25.1","28.05","22.15",""
"Anxiety","2013","White","All","Very_Low","N/A","39.5","39.84","39.16",""
"Anxiety","2013","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2013","Mixed","All","Very_Low","N/A","42.08","46.34","37.83",""
"Anxiety","2013","Indian","All","Very_Low","N/A","34.8","37.11","32.49",""
"Anxiety","2013","Pakistani","All","Very_Low","N/A","38.62","41.79","35.44",""
"Anxiety","2013","Bangladeshi","All","Very_Low","N/A","40.22","45.52","34.92",""
"Anxiety","2013","Chinese","All","Very_Low","N/A","32.68","37.69","27.66",""
"Anxiety","2013","Asian other","All","Very_Low","N/A","35.32","39.24","31.4",""
"Anxiety","2013","Black","All","Very_Low","N/A","38.06","40.2","35.91",""
"Anxiety","2013","Arab","All","Very_Low","N/A","28.52","34.65","22.38",""
"Anxiety","2013","Other ","All","Very_Low","N/A","33.65","36.86","30.45",""
"Anxiety","2014","White","All","High","N/A","19.65","19.38","19.92",""
"Anxiety","2014","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2014","Mixed","All","High","N/A","21.87","24.94","18.81","-"
"Anxiety","2014","Indian","All","High","N/A","19.27","21.06","17.49","-"
"Anxiety","2014","Pakistani","All","High","N/A","20.6","23.21","17.99","-"
"Anxiety","2014","Bangladeshi","All","High","N/A","17.6","21.73","13.47","-"
"Anxiety","2014","Chinese","All","High","N/A","20.73","26.48","14.97","-"
"Anxiety","2014","Asian other","All","High","N/A","19","21.9","16.09","-"
"Anxiety","2014","Black","All","High","N/A","19","20.64","17.35","-"
"Anxiety","2014","Arab","All","High","N/A","21.87","26.83","16.91","-"
"Anxiety","2014","Other ","All","High","N/A","20.53","23.33","17.74","-"
"Anxiety","2014","White","All","Medium","N/A","16.34","16.59","16.09","-"
"Anxiety","2014","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2014","Mixed","All","Medium","N/A","20.41","23.65","17.17","-"
"Anxiety","2014","Indian","All","Medium","N/A","17.84","19.52","16.15","-"
"Anxiety","2014","Pakistani","All","Medium","N/A","18.57","21.13","16.01","-"
"Anxiety","2014","Bangladeshi","All","Medium","N/A","15.9","19.68","12.11","-"
"Anxiety","2014","Chinese","All","Medium","N/A","19.08","23.01","15.16","-"
"Anxiety","2014","Asian other","All","Medium","N/A","17.6","20.52","14.67","-"
"Anxiety","2014","Black","All","Medium","N/A","19.13","20.85","17.41","-"
"Anxiety","2014","Arab","All","Medium","N/A","22.2","28.26","16.14","-"
"Anxiety","2014","Other ","All","Medium","N/A","18.83","21.45","16.22","-"
"Anxiety","2014","White","All","Low","N/A","23.28","23.57","22.98","-"
"Anxiety","2014","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2014","Mixed","All","Low","N/A","23.53","26.85","20.22","-"
"Anxiety","2014","Indian","All","Low","N/A","25.1","27.22","22.99","-"
"Anxiety","2014","Pakistani","All","Low","N/A","21.8","24.58","19.03","-"
"Anxiety","2014","Bangladeshi","All","Low","N/A","23.9","28.2","19.6","-"
"Anxiety","2014","Chinese","All","Low","N/A","25.22","29.97","20.47","-"
"Anxiety","2014","Asian other","All","Low","N/A","23.98","27.14","20.81","-"
"Anxiety","2014","Black","All","Low","N/A","20.85","22.63","19.06","-"
"Anxiety","2014","Arab","All","Low","N/A","25.66","31.45","19.87","-"
"Anxiety","2014","Other ","All","Low","N/A","23.07","25.79","20.34","-"
"Anxiety","2014","White","All","Very_Low","N/A","40.74","41.08","40.39","-"
"Anxiety","2014","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2014","Mixed","All","Very_Low","N/A","34.18","37.76","30.61","-"
"Anxiety","2014","Indian","All","Very_Low","N/A","37.79","40.17","35.4","-"
"Anxiety","2014","Pakistani","All","Very_Low","N/A","39.03","42.32","35.74","-"
